Date,AORDS,BHP,CBA
10/09/2018,0.383123894,4.341980162,1.394293911
17/09/2018,0.462578977,5.383563522,0.61349098
24/09/2018,0.31826893,3.078985122,-0.739437009
1/10/2018,-0.386484599,2.481225463,-1.994284873
8/10/2018,-4.78653559,-4.788910236,-4.335502073
15/10/2018,0.600856743,-2.21104787,1.319030214
22/10/2018,-4.799940355,-5.911507501,-3.15587326
29/10/2018,3.013373486,7.112737897,3.786984369
5/11/2018,1.258934433,-0.269019316,3.733382063
12/11/2018,-3.180991184,-3.193213449,-2.93192678
19/11/2018,-0.506189055,-2.534952944,3.424018634
26/11/2018,-0.764124732,-2.763680173,-0.098222328
3/12/2018,0.149473353,1.584005032,-1.214697737
10/12/2018,-1.383289941,3.838168142,-2.241806894
17/12/2018,-2.595556113,2.919907673,-0.48073305
24/12/2018,3.248491273,1.753124826,4.887367266
31/12/2018,-0.684633588,-1.693190909,-0.027819445
7/01/2019,2.741703162,-1.78333705,-0.320449145
14/01/2019,1.807121019,5.177187695,2.167241165
21/01/2019,0.502001546,-0.181388715,-0.946702203
28/01/2019,-0.601363992,5.732668687,-3.907742549
4/02/2019,3.328814831,0.938429552,6.908849329
11/02/2019,0.201873973,3.175755183,-5.414899044
18/02/2019,1.506017795,3.290464781,6.968853969
25/02/2019,0.509759308,-1.362369463,0.674773126
4/03/2019,0.211773011,-0.810163948,-1.586161527
11/03/2019,-0.350536514,1.006824895,-1.195978454
18/03/2019,0.251870116,3.050578604,-1.224433722
25/03/2019,-0.306152183,2.312867195,-1.112136451
1/04/2019,0.142031459,1.878819719,0.353275125
8/04/2019,1.211020085,0.913725492,1.038456022
15/04/2019,0.045678899,-3.470352051,2.454639109
22/04/2019,1.923155747,-1.661643581,2.740995254
29/04/2019,-0.713159182,-1.770909939,-0.624877162
6/05/2019,-0.531971586,-0.379711549,0.558584908
13/05/2019,1.044100815,4.412082119,-3.467938848
20/05/2019,1.313277591,-2.661208049,7.088598494
27/05/2019,-0.825327117,0.824377874,0.421214273
3/06/2019,0.513182197,0.211645385,1.880049494
10/06/2019,1.647602407,6.298465882,-0.287912937
17/06/2019,1.50661828,1.795199827,3.049425955
24/06/2019,-0.522569544,0.316347403,0.654473618
1/07/2019,1.960000812,0.315347104,-0.63013353
8/07/2019,-0.631398677,-0.7780273,-0.903675014
15/07/2019,-0.038299964,0.219428463,0.696773285
22/07/2019,1.362570713,-0.512759831,0.60724626
29/07/2019,-0.483771285,-5.200223059,-0.863385548
5/08/2019,-2.70493113,-3.917942821,-3.050446414
12/08/2019,-2.699927526,-3.049509513,-5.566331644
19/08/2019,1.960336755,-2.095358561,5.94020078
26/08/2019,1.260492032,2.426580983,2.109388671
2/09/2019,0.810359108,0.055090076,0.617930519
9/09/2019,0.360684251,5.41384217,3.21652086
16/09/2019,0.909222582,1.656011391,0.048679714
23/09/2019,-0.218104351,-2.440128172,-0.781826664
30/09/2019,-2.781550637,-4.270125311,-4.96552622
7/10/2019,1.272586585,1.462352071,1.509364694
14/10/2019,0.541532306,-2.917634463,1.09844251
21/10/2019,1.214775863,2.777953352,1.322204765
28/10/2019,-0.908955554,-0.195897028,-3.095753567
4/11/2019,0.794874939,4.384275048,1.181643607
11/11/2019,0.956885077,-0.053646913,1.90172661
18/11/2019,-1.201582076,-0.24171133,-1.360054085
25/11/2019,1.910770473,2.758072105,1.521029151
2/12/2019,-1.954791017,-2.301986014,-2.290329077
9/12/2019,0.455409633,5.189537213,1.345516432
16/12/2019,1.159135703,0.935894779,1.475446723
23/12/2019,0.171707146,-0.20162462,-0.221784565
30/12/2019,-1.176094621,-1.243832885,-0.941886647
6/01/2020,2.687048939,1.897598216,2.690414233
13/01/2020,1.946313156,1.73915567,1.861366142
20/01/2020,0.318426104,-0.370131139,1.053332902
27/01/2020,-1.144912087,-2.630070596,0.376015016
3/02/2020,0.002804362,-1.611930039,-0.540977886
